Provincias;Sexo;Periodo;Total
16 Cuenca;Ambos sexos;1998;80,60
16 Cuenca;Ambos sexos;1997;80,41
16 Cuenca;Ambos sexos;1996;79,53
20 Gipuzkoa;Ambos sexos;2023;84,15
20 Gipuzkoa;Ambos sexos;2022;83,39
20 Gipuzkoa;Ambos sexos;2021;83,47
20 Gipuzkoa;Ambos sexos;2020;83,33
20 Gipuzkoa;Ambos sexos;2019;84,17
20 Gipuzkoa;Ambos sexos;2018;83,65
20 Gipuzkoa;Ambos sexos;2017;83,48
20 Gipuzkoa;Ambos sexos;2016;83,60
20 Gipuzkoa;Ambos sexos;2015;83,10
20 Gipuzkoa;Ambos sexos;2014;83,30
20 Gipuzkoa;Ambos sexos;2013;83,04
20 Gipuzkoa;Ambos sexos;2012;82,86
20 Gipuzkoa;Ambos sexos;2011;82,74
20 Gipuzkoa;Ambos sexos;2010;82,74
20 Gipuzkoa;Ambos sexos;2009;82,22
20 Gipuzkoa;Ambos sexos;2008;81,83
20 Gipuzkoa;Ambos sexos;2007;81,34
20 Gipuzkoa;Ambos sexos;2006;81,83
20 Gipuzkoa;Ambos sexos;2005;81,22
20 Gipuzkoa;Ambos sexos;2004;80,92
20 Gipuzkoa;Ambos sexos;2003;80,39
20 Gipuzkoa;Ambos sexos;2002;80,17
20 Gipuzkoa;Ambos sexos;2001;80,18
20 Gipuzkoa;Ambos sexos;2000;79,91
20 Gipuzkoa;Ambos sexos;1999;79,38
20 Gipuzkoa;Ambos sexos;1998;78,83
20 Gipuzkoa;Ambos sexos;1997;78,95
20 Gipuzkoa;Ambos sexos;1996;78,00
17 Girona;Ambos sexos;2023;83,50
17 Girona;Ambos sexos;2022;83,02
17 Girona;Ambos sexos;2021;83,02
17 Girona;Ambos sexos;2020;82,63
17 Girona;Ambos sexos;2019;83,15
17 Girona;Ambos sexos;2018;83,13
17 Girona;Ambos sexos;2017;83,12
17 Girona;Ambos sexos;2016;83,29
17 Girona;Ambos sexos;2015;82,74
17 Girona;Ambos sexos;2014;82,86
17 Girona;Ambos sexos;2013;83,00
17 Girona;Ambos sexos;2012;82,35
17 Girona;Ambos sexos;2011;82,58
17 Girona;Ambos sexos;2010;82,25
17 Girona;Ambos sexos;2009;81,84
17 Girona;Ambos sexos;2008;81,76
17 Girona;Ambos sexos;2007;81,56
17 Girona;Ambos sexos;2006;81,39
17 Girona;Ambos sexos;2005;80,62
17 Girona;Ambos sexos;2004;80,57
17 Girona;Ambos sexos;2003;80,03
17 Girona;Ambos sexos;2002;79,89
17 Girona;Ambos sexos;2001;79,79
17 Girona;Ambos sexos;2000;79,76
17 Girona;Ambos sexos;1999;79,17
17 Girona;Ambos sexos;1998;79,56
17 Girona;Ambos sexos;1997;79,09
17 Girona;Ambos sexos;1996;78,72
18 Granada;Ambos sexos;2023;82,94
18 Granada;Ambos sexos;2022;82,67
